sample_id,company_name,company_number,company_category,company_status,country_of_origin,incorporation_date,address_care_of,address_po_box,address_line_1,address_line_2,post_town,county,address_country,postcode,accounts_category,sic_1,sic_2,sic_3,sic_4,companies_house_uri,website_found,website_url,vat_candidate,vat_source,vat_source_url,hmrc_checked,hmrc_valid,hmrc_registered_name,hmrc_registered_address,name_match,address_match,entity_match,final_status,notes
140,JUTTA MOORE LTD.,05370667,Private Limited Company,Active,United Kingdom,21/02/2005,,,3RD FLOOR,207 REGENT STREET,LONDON,,ENGLAND,W1B 3HH,TOTAL EXEMPTION FULL,70229 - Management consultancy activities other than financial management,,,,http://business.data.gov.uk/id/company/05370667,,,,,,,,,,,,,,
141,GOSPACEZ (UK) LTD,14757192,Private Limited Company,Active,United Kingdom,25/03/2023,,,"4TH FLOOR,",66 ST. JAMES'S STREET,LONDON,,ENGLAND,SW1A 1NE,TOTAL EXEMPTION FULL,62020 - Information technology consultancy activities,,,,http://business.data.gov.uk/id/company/14757192,,,,,,,,,,,,,,
142,ALDWYCH HOLDINGS LIMITED,05615719,Private Limited Company,Active,United Kingdom,08/11/2005,,,85 GRESHAM STREET,,LONDON,,ENGLAND,EC2V 7NQ,SMALL,70100 - Activities of head offices,,,,http://business.data.gov.uk/id/company/05615719,,,,,,,,,,,,,,
143,GEEKS IN CITIES LTD,SC885112,Private Limited Company,Active,United Kingdom,03/04/2026,,,13/1 BROUGHTON PLACE,,EDINBURGH,,SCOTLAND,EH1 3RL,NO ACCOUNTS FILED,62012 - Business and domestic software development,85600 - Educational support services,,,http://business.data.gov.uk/id/company/SC885112,,,,,,,,,,,,,,
144,NMK ASSOCIATES LTD,05265463,Private Limited Company,Active,United Kingdom,20/10/2004,,,24 LEOPOLD AVENUE,FARNBOROUGH,HAMPSHIRE,,,GU14 8NJ,TOTAL EXEMPTION FULL,69201 - Accounting and auditing activities,,,,http://business.data.gov.uk/id/company/05265463,,,,,,,,,,,,,,
145,D & R BUILDING LIMITED,06595711,Private Limited Company,Active,United Kingdom,16/05/2008,,,HOMEDALE HOUSE THE STREET,MARHAM,KING'S LYNN,,ENGLAND,PE33 9JN,TOTAL EXEMPTION FULL,68100 - Buying and selling of own real estate,68209 - Other letting and operating of own or leased real estate,,,http://business.data.gov.uk/id/company/06595711,,,,,,,,,,,,,,
146,GRANDPARENTS PLUS,04454103,"PRI/LBG/NSC (Private, Limited by guarantee, no share capital, use of 'Limited' exemption)",Active,United Kingdom,05/06/2002,,,THE FOUNDRY,17 OVAL WAY,LONDON,,ENGLAND,SE11 5RR,SMALL,82990 - Other business support service activities n.e.c.,,,,http://business.data.gov.uk/id/company/04454103,,,,,,,,,,,,,,
147,FOX,15973553,Private Unlimited Company,Active,United Kingdom,23/09/2024,,,24 VARDENS ROAD,,LONDON,,ENGLAND,SW11 1RH,NO ACCOUNTS FILED,64991 - Security dealing on own account,,,,http://business.data.gov.uk/id/company/15973553,,,,,,,,,,,,,,
148,FUTURE SKILLS CIC,10321414,Community Interest Company,Active,United Kingdom,09/08/2016,,,HORIZON HOUSE GORDON ROAD,WHITFIELD,DOVER,KENT,ENGLAND,CT16 2ET,TOTAL EXEMPTION FULL,82990 - Other business support service activities n.e.c.,,,,http://business.data.gov.uk/id/company/10321414,,,,,,,,,,,,,,
149,GVG FORESTRY LIMITED,SC413542,Private Limited Company,Active,United Kingdom,21/12/2011,,,LANFINE HOUSE,,NEWMILNS,AYRSHIRE,,KA16 9JR,MICRO ENTITY,02100 - Silviculture and other forestry activities,,,,http://business.data.gov.uk/id/company/SC413542,,,,,,,,,,,,,,
